weeks,year,temp_num_max_max,temp_num_max_min,temp_num_max_mean,temp_num_min_max,temp_num_min_min,temp_num_min_mean,temp_num_mean_max,temp_num_mean_min,temp_num_mean_mean,feels_num_max_max,feels_num_max_min,feels_num_max_mean,feels_num_min_max,feels_num_min_min,feels_num_min_mean,feels_num_mean_max,feels_num_mean_min,feels_num_mean_mean,gust_num_max_max,gust_num_max_min,gust_num_max_mean,gust_num_min_max,gust_num_min_min,gust_num_min_mean,gust_num_mean_max,gust_num_mean_min,gust_num_mean_mean,rain_num_max_max,rain_num_max_min,rain_num_max_mean,rain_num_min_max,rain_num_min_min,rain_num_min_mean,rain_num_mean_max,rain_num_mean_min,rain_num_mean_mean,humid_num_max_max,humid_num_max_min,humid_num_max_mean,humid_num_min_max,humid_num_min_min,humid_num_min_mean,humid_num_mean_max,humid_num_mean_min,humid_num_mean_mean,cloud_num_max_max,cloud_num_max_min,cloud_num_max_mean,cloud_num_min_max,cloud_num_min_min,cloud_num_min_mean,cloud_num_mean_max,cloud_num_mean_min,cloud_num_mean_mean,illum_max,illum_min,illum_mean,Ah1n1,Ah3,B,Label_AH1N1,Label_AH3,Label_B
33,2009,33,29,31.28571429,25,24,24.57142857,28.125,26.75,27.53571429,44,38,41.57142857,31,28,29.28571429,35.75,33,34.44642857,18,8,10.71428571,6,1,2.571428571,11.375,3.75,6.285714286,6,0.3,2.128571429,0,0,0,1.5,0.075,0.45,99,95,96.85714286,83,62,71,91.375,83.125,86.55357143,100,26,58.85714286,30,8,15.71428571,44.75,17.875,30.51785714,97,76,88,24,7,17,normal,normal,danger
34,2009,32,27,30.42857143,25,24,24.28571429,27.75,25.75,27.05357143,45,33,40.42857143,30,27,28.71428571,35.125,30.75,33.73214286,16,11,13.71428571,5,1,2.714285714,8.75,5.125,6.928571429,5,0.8,3.185714286,0,0,0,1.05,0.175,0.614285714,98,95,97.42857143,89,71,76.57142857,94,86.75,89.66071429,100,73,96.14285714,37,10,22.71428571,67.5,38.875,47.94642857,76,34,55,27,2,5,normal,normal,normal
35,2009,30,28,29,25,24,24.14285714,26.625,25.625,26.05357143,38,34,36.28571429,29,27,28,32.75,30.25,31.39285714,18,13,16,10,1,5.142857143,14,7.875,10.125,6.7,0.9,4.028571429,0,0,0,1.5,0.1125,0.841071429,98,97,97.57142857,87,77,82.42857143,94.125,90.75,92.69642857,100,100,100,55,24,40.14285714,79.625,47,65.53571429,28,0,13,11,,6,normal,normal,normal
36,2009,28,26,27,24,23,23.57142857,25.625,24.375,24.92857143,34,29,31.85714286,27,26,26.42857143,30,27.5,28.55357143,28,17,23.57142857,18,7,11.28571429,24,12.125,17.625,5.2,1.8,3.742857143,0,0,0,1.1125,0.425,0.742857143,98,97,97.57142857,92,84,87.71428571,95.375,93.25,94.5,100,100,100,78,42,49.71428571,92.625,69.5,79.78571429,62,21,41.28571429,38,1,4,warning,normal,normal
37,2009,29,28,28.57142857,25,23,24,26.5,25.125,26.01785714,38,33,36,29,26,27.85714286,32.5,29.25,31.21428571,22,12,16.42857143,10,1,5.571428571,12.75,9.25,11.01785714,7.4,2.1,3.714285714,0,0,0,1.075,0.2625,0.6,99,97,97.85714286,88,79,84.14285714,94.5,92.375,93.26785714,100,100,100,56,32,42.42857143,81,56.125,68.01785714,97,69,86,75,1,3,warning,normal,normal
38,2009,32,27,29.71428571,24,23,23.85714286,27.625,25.5,26.5,44,33,38.28571429,29,27,27.85714286,34.75,29.875,32.33928571,19,9,13.71428571,8,2,4.714285714,11.125,4.5,8.75,7,0.8,3.4,0,0,0,1.5875,0.1,0.626785714,98,96,97.14285714,88,72,78.28571429,94.125,86.625,90.35714286,100,58,90.57142857,37,13,24.28571429,65.875,35.875,45.44642857,83,41,62,82,,3,danger,normal,normal
39,2009,28,25,27,24,23,23.57142857,25.625,24.375,25.08928571,35,30,32.42857143,27,26,26.85714286,30.375,27.75,29.07142857,30,19,24.57142857,18,5,12,24.125,12.25,17.53571429,7.5,0,2.4,0,0,0,1.1,0,0.414285714,98,95,97,95,83,88.42857143,96.625,90.875,93.55357143,100,68,91.14285714,51,21,39.42857143,79.875,39.75,63.53571429,34,0,14.85714286,54,,2,warning,normal,normal
40,2009,31,26,28.85714286,24,23,23.85714286,26.875,25.25,26,40,32,36.57142857,29,27,27.28571429,32.75,30.125,31.21428571,18,10,14.85714286,5,1,3,10,6.25,8.071428571,9.6,1.4,5.314285714,0,0,0,2.3625,0.175,0.998214286,99,98,98.28571429,94,75,83.28571429,96.25,89,92.80357143,100,100,100,67,32,45,87.25,57.5,69.75,48,7,27.57142857,68,1,1,danger,normal,normal
41,2009,31,26,28.71428571,24,23,23.14285714,26.875,24.375,25.53571429,40,31,35.28571429,27,26,26.42857143,33,28.25,30.375,19,10,14.42857143,9,1,3.857142857,13.375,5.25,8.839285714,9.4,0.1,3.871428571,0,0,0,1.7625,0.0125,0.673214286,98,98,98,91,70,81.14285714,96.75,86.125,91.80357143,100,100,100,49,8,28,79,35,60.44642857,97,55,76,37,,1,normal,normal,normal
42,2009,30,27,28.57142857,25,23,23.85714286,26.875,25,25.91071429,40,33,36,29,26,27.57142857,33.25,29.375,31.08928571,24,5,13,5,1,3.428571429,11.375,2.75,7.642857143,6.8,1.7,3.857142857,0,0,0,0.875,0.475,0.708928571,98,97,97.85714286,90,76,83.28571429,95.125,88.75,92.98214286,100,100,100,47,25,35,81.5,47.125,66,97,55,76,41,2,5,normal,normal,normal
